City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,roma,43.2128,-75.4557,0.77,84,100,7.2,US,1674552894
83,soyo,-6.1349,12.3689,28.73,65,92,1.52,AO,1674552895
84,fairbanks,64.8378,-147.7164,-20.22,79,100,0.0,US,1674552671
85,mahdalynivka,48.921,34.9156,1.85,56,10,4.65,UA,1674552897
86,broome,42.2506,-75.833,-0.08,81,100,6.17,US,1674552897
87,upernavik,72.7868,-56.1549,-20.46,85,100,4.81,GL,1674552898
88,kaitangata,-46.2817,169.8464,11.01,82,14,3.13,NZ,1674552899
89,qaanaaq,77.484,-69.3632,-24.06,64,29,2.06,GL,1674552899
90,urubicha,-15.3833,-62.95,21.99,96,100,1.49,BO,1674552900
91,khatanga,71.9667,102.5,-39.53,96,75,2.95,RU,1674552901
92,atchison,39.563,-95.1216,-1.76,92,100,1.08,US,1674552902
93,kohima,25.6667,94.1167,18.29,36,90,1.65,IN,1674552902
94,ribeira grande,38.5167,-28.7,15.43,88,75,10.29,PT,1674552903
95,flin flon,54.7682,-101.865,-26.23,100,95,1.54,CA,1674552904
96,luena,-11.7833,19.9167,23.73,56,100,3.88,AO,1674552905
97,yellowknife,62.456,-114.3525,-14.69,85,100,4.63,CA,1674552613
98,severo-kurilsk,50.6789,156.125,-9.05,66,67,4.42,RU,1674552906
99,barrow,71.2906,-156.7887,-19.99,77,100,8.75,US,1674552907
100,saint george,37.1041,-113.5841,1.33,64,0,2.24,US,1674552899
101,allapalli,19.4167,80.0667,32.49,22,36,2.09,IN,1674552908
102,longyearbyen,78.2186,15.6401,-3.09,86,75,9.77,SJ,1674552725
103,port blair,11.6667,92.75,29.02,58,20,5.14,IN,1674552693
104,kaseda,31.4167,130.3167,3.14,76,99,15.85,JP,1674552911
105,halifax,44.6453,-63.5724,-1.28,90,100,7.15,CA,1674552757
106,sayyan,15.1718,44.3244,19.68,24,4,2.96,YE,1674552912
107,yagodnoye,62.55,149.6667,-41.11,99,28,1.57,RU,1674552913
108,liberal,37.0431,-100.921,-3.42,80,75,2.06,US,1674552908
109,atuona,-9.8,-139.0333,25.98,74,10,8.9,PF,1674552872
110,avarua,-21.2078,-159.775,23.03,100,96,1.03,CK,1674552914
111,vestmannaeyjar,63.4427,-20.2734,7.55,87,75,8.23,IS,1674552915
112,chilca,-12.5211,-76.7372,20.39,88,100,2.17,PE,1674552916
113,isla mujeres,21.2311,-86.731,23.03,81,8,5.87,MX,1674552917
114,nanortalik,60.1432,-45.2371,-0.75,87,100,3.47,GL,1674552917
115,nouadhibou,20.931,-17.0347,16.99,63,0,8.75,MR,1674552918
116,hasaki,35.7333,140.8333,3.22,83,57,8.61,JP,1674552919
117,jamestown,42.097,-79.2353,-1.92,67,75,6.69,US,1674552902
118,the valley,18.217,-63.0578,25.05,66,16,7.82,AI,1674552921
119,hailar,49.2,119.7,-31.32,93,6,4.07,CN,1674552922
120,belaya gora,68.5333,146.4167,-30.87,96,100,1.2,RU,1674552922
121,geraldton,-28.7667,114.6,25.23,69,40,9.26,AU,1674552715
122,egvekinot,66.3167,-179.1667,-26.45,87,11,5.83,RU,1674552924
123,cabedelo,-6.9811,-34.8339,24.37,75,9,4.47,BR,1674552924
124,bairiki,1.3292,172.9752,28.0,78,40,6.17,KI,1674552925
125,woodward,36.4337,-99.3904,1.57,80,100,1.54,US,1674552926
126,xacmaz,41.4635,48.806,5.99,56,4,4.87,AZ,1674552927
127,zhangjiakou,40.81,114.8794,-16.06,28,0,1.57,CN,1674552796
128,olinda,-8.0089,-34.8553,26.85,74,40,2.06,BR,1674552928
129,murliganj,25.9,86.9833,27.24,30,0,2.52,IN,1674552928
130,intipuca,13.1969,-88.0544,21.76,68,6,1.68,SV,1674552929
131,kahului,20.8947,-156.47,23.25,88,0,0.89,US,1674552930
132,deputatskiy,69.3,139.9,-36.9,98,100,1.22,RU,1674552931
133,brae,60.3964,-1.353,9.22,97,100,10.17,GB,1674552931
134,arraial do cabo,-22.9661,-42.0278,23.92,94,75,1.54,BR,1674552932
135,tura,25.5198,90.2201,24.5,32,88,2.42,IN,1674552933
136,petrovsk,52.3064,45.3917,-5.7,77,97,2.21,RU,1674552934
137,saint-georges,12.0564,-61.7485,24.82,83,40,5.14,GD,1674552934
138,usinsk,65.9939,57.5281,-11.6,95,64,9.67,RU,1674552685
139,san patricio,28.017,-97.5169,19.92,87,100,8.1,US,1674552936
140,leningradskiy,69.3833,178.4167,-31.06,92,20,3.97,RU,1674552936
141,shetpe,44.1667,52.1167,1.5,24,86,2.87,KZ,1674552937
142,jati,24.3539,68.2671,22.78,14,0,3.67,PK,1674552938
143,santa rosa,14.3122,121.1114,29.99,66,93,5.56,PH,1674552939
144,fortuna,40.5982,-124.1573,3.19,100,0,3.6,US,1674552940
145,mtwara,-10.2667,40.1833,27.63,83,75,9.26,TZ,1674552940
146,laramie,41.3114,-105.5911,-9.47,82,20,3.09,US,1674552941
147,sept-iles,50.2001,-66.3821,-9.0,83,0,3.6,CA,1674552683
148,pitimbu,-7.4706,-34.8086,24.33,74,15,4.65,BR,1674552942
149,kermanshah,34.3142,47.065,4.5,45,12,0.0,IR,1674552943
150,port shepstone,-30.7414,30.455,27.51,73,0,8.21,ZA,1674552944
151,barcelos,41.5388,-8.6151,5.94,57,0,1.65,PT,1674552730
152,omboue,-1.5746,9.2618,29.42,66,85,3.07,GA,1674552945
153,gwadar,25.1216,62.3254,18.52,22,0,7.62,PK,1674552946
154,batemans bay,-35.7167,150.1833,21.72,94,100,1.7,AU,1674552946
155,markovo,57.3206,107.0881,-31.64,97,97,0.22,RU,1674552947
156,nipawin,53.3668,-104.0009,-15.98,85,0,4.12,CA,1674552948
157,yakeshi,49.2833,120.7333,-34.71,97,47,2.4,CN,1674552949
158,luderitz,-26.6481,15.1594,24.11,47,33,9.15,NA,1674552949
159,khromtau,50.2503,58.4347,-11.86,93,16,1.6,KZ,1674552950
160,mount isa,-20.7333,139.5,35.87,20,40,3.6,AU,1674552951
161,rosario,-32.9468,-60.6393,22.75,49,0,4.12,AR,1674552951
162,namibe,-15.1961,12.1522,27.35,69,75,0.0,AO,1674552952
163,union de tula,19.9667,-104.2667,10.23,69,93,0.46,MX,1674552953
164,takoradi,4.8845,-1.7554,29.13,68,7,2.33,GH,1674552954
165,najran,17.4924,44.1277,23.36,19,1,1.04,SA,1674552656
166,te anau,-45.4167,167.7167,11.7,77,37,1.72,NZ,1674552955
167,kiunga,-6.1219,141.2906,24.09,98,100,0.41,PG,1674552955
168,saint-philippe,-21.3585,55.7679,25.77,88,100,3.71,RE,1674552956
169,cherskiy,68.75,161.3,-30.11,98,100,1.08,RU,1674552957
170,villa carlos paz,-31.4241,-64.4978,22.44,49,7,0.45,AR,1674552958
171,constitucion,-35.3333,-72.4167,16.44,92,71,0.42,CL,1674552958
172,castro,-24.7911,-50.0119,17.12,91,19,0.5,BR,1674552959
173,klyuchevskiy,53.5317,119.4519,-34.26,99,32,1.36,RU,1674552960
174,walvis bay,-22.9575,14.5053,21.14,63,100,6.55,NA,1674552507
175,kodiak,57.79,-152.4072,1.73,75,0,3.09,US,1674552961
176,mahibadhoo,3.7833,72.9667,25.59,82,100,8.43,MV,1674552962
